date,n1,n2,n3,n4,n5,e1,e2
2013-07-23,19,14,44,16,15,4,5
2013-07-26,23,38,29,12,49,4,3
2013-07-30,3,14,4,11,43,1,6
2013-08-02,42,36,48,37,21,7,4
2013-08-06,17,47,16,49,31,3,11
2013-08-09,24,4,23,7,9,9,8
2013-08-13,5,20,47,17,50,1,4
2013-08-16,39,20,24,37,27,5,10
2013-08-20,42,11,50,49,5,8,11
2013-08-23,30,37,26,6,1,8,5
2013-08-27,7,40,38,43,30,6,2
2013-08-30,45,25,17,36,2,5,9
2013-09-03,5,18,16,42,9,7,9
2013-09-06,25,11,32,23,37,7,4
2013-09-10,7,28,30,14,11,2,10
2013-09-13,14,27,6,4,33,10,5
2013-09-17,44,17,21,42,13,11,9
2013-09-20,5,11,38,35,45,2,3
2013-09-24,43,20,10,28,26,9,11
2013-09-27,41,15,11,38,43,6,2
2013-10-01,19,44,48,25,23,9,8
2013-10-04,50,35,6,24,20,5,10
2013-10-08,23,24,33,42,26,5,3
2013-10-11,6,17,23,12,43,5,9
2013-10-15,39,18,27,43,47,7,4
2013-10-18,25,36,47,46,5,2,6
2013-10-22,39,33,29,44,41,9,11
2013-10-25,2,31,38,3,10,6,10
2013-10-29,32,9,10,30,37,6,2
2013-11-01,19,33,29,30,7,3,8
2013-11-05,35,38,12,13,6,2,3
2013-11-08,35,20,42,43,28,8,10
2013-11-12,29,48,40,37,14,11,2
2013-11-15,13,42,3,15,29,4,1
2013-11-19,45,14,19,36,15,1,10
2013-11-22,40,26,13,25,50,8,9
2013-11-26,44,27,23,42,19,5,3
2013-11-29,10,23,7,2,43,4,7
2013-12-03,32,6,29,15,13,2,9
2013-12-06,18,31,36,2,1,7,10
2013-12-10,49,50,24,6,35,7,1
2013-12-13,24,22,23,1,31,6,11
2013-12-17,41,6,8,37,27,7,10
2013-12-20,13,22,17,43,12,10,3
2013-12-24,5,31,43,50,19,6,2
2013-12-27,1,22,6,13,28,10,5
2013-12-31,29,45,24,20,13,7,3
2014-01-03,3,44,27,38,31,3,8
2014-01-07,2,45,20,27,33,6,10
2014-01-10,1,27,2,11,29,10,1
2014-01-14,25,18,20,26,37,11,10
2014-01-17,26,19,33,42,32,10,4
