date,n1,n2,n3,n4,n5,e1,e2,pos_sun,pos_moon,pos_merc,pos_ven,pos_mars,pos_jup,pos_sat,moon_illum
2011-05-10,28,3,45,10,15,7,5,48.860473272364764,127.93549319318075,22.604787788185686,22.653376851635795,28.866976721430998,24.23951002725852,191.22012270350237,0.40669061018218244
2011-05-13,17,47,11,36,9,2,1,51.75880031633517,170.13480256512585,26.048995722445163,26.292535013458725,31.1254393959184,24.92622989544599,191.06741271745207,0.7386541703402626
2011-05-17,37,20,21,45,46,3,2,55.616275326230216,229.2553731904896,31.239409812647704,31.14645160878502,34.12469322755833,25.831148100531365,190.8827711706856,0.9964451167156023
2011-05-20,42,25,10,20,14,8,11,58.50494744464379,271.9711201631207,35.55195033365081,34.78857037880846,36.365213000178066,26.50121650072844,190.75914976129985,0.9169264207898769
2011-05-24,16,23,24,29,26,2,9,62.35182455656926,323.5445082632394,41.838945997382474,39.64740299631898,39.34074283444424,27.382200694384636,190.61499834073297,0.5771425842203751
2011-05-27,28,9,49,25,17,9,8,65.23396754381945,359.53711927593355,46.95068119234404,43.29357165081095,41.56337077807867,28.032853485775945,190.52295892799296,0.29650218767760816
2011-05-31,22,9,10,50,1,11,5,69.07302995800072,47.517528840767646,54.28927282034811,48.15767173551886,44.51442790097166,28.88572042655711,190.42241717740137,0.035619314556276094
2011-06-03,49,40,50,39,4,2,5,71.94941580375448,85.20019409069243,60.1729054201374,51.80746586573544,46.7180351665128,29.513493903992163,190.36406521826706,0.013671711993264835
2011-06-07,25,38,40,6,36,10,4,75.78038260979187,138.54523528638438,68.46745132398198,56.67584793904478,49.64272551618843,30.333392086938037,190.3094624961232,0.27343315295904325
2011-06-10,37,20,3,48,19,8,11,78.6502377664659,180.72345294913157,74.94394813246247,60.32852565398624,51.825881213851204,30.93462629312538,190.28608872096822,0.6058462141285824
2011-06-14,41,19,48,5,12,8,10,82.47249426122697,238.26719313542435,83.7304601952241,65.20089202452215,54.72288968877573,31.716920065201563,190.27842071943505,0.9560390822791383
2011-06-17,11,22,21,16,44,8,3,85.33674076516814,280.06585347933367,90.27833883997336,68.85722101602764,56.88541716870402,32.28841697628085,190.29025272051683,0.9834107043471507
2011-06-21,49,50,20,17,35,4,3,89.15380414325979,331.4979259569786,98.74640402557858,73.73575565103796,59.75537568691202,33.028969801980814,190.3293981279682,0.7318387696881612
2011-06-24,41,20,5,30,16,11,6,92.01585111038192,7.5673435668180975,104.8027377039271,77.39751387006248,61.89777352750566,33.56740363953884,190.37623146773902,0.45315773151834526
2011-06-28,16,15,44,30,50,3,2,95.83147049918398,55.72979714380487,112.40843734765683,82.28380538816747,64.74062823446019,34.26122875157491,190.46184943281037,0.11841919396372691
2011-07-01,11,23,31,8,46,9,8,98.69295825596458,94.11308938554646,117.74002559471843,85.95143563151078,66.86223735913843,34.762496475894096,190.5433025039783,0.0015863555183797118
2011-07-05,28,47,29,11,49,5,1,102.50773943269397,149.0959821086911,124.34232242776257,90.84523927791037,69.67651198478613,35.40385181714823,190.67457519480396,0.15903204355695405
2011-07-08,12,13,40,49,23,7,10,105.36816131288232,191.77183358938876,128.90967164748687,94.5181281140478,71.77604096599944,35.863631505036,190.78971374917026,0.4706651904539649
2011-07-12,19,17,42,45,38,9,10,109.18123960369819,248.05101803835117,134.47191403274408,99.41871864904492,74.56045031301598,36.44705853940171,190.96488040987998,0.8770696607130397
2011-07-15,26,6,33,39,34,3,4,112.04101302435495,288.64504411386696,138.22760681382886,103.09700707262287,76.63771630066987,36.86157237365669,191.11205682995222,0.9986875222292482
2011-07-19,16,3,25,35,26,5,9,115.8552696639312,339.4780333741207,142.63102240033908,108.00575594837562,79.39296738941336,37.38216479433895,191.3287616244557,0.8610986076051388
2011-07-22,4,50,15,49,23,2,6,118.717662337163,15.499719671452645,145.43025230809175,111.69087385337431,81.44862558861053,37.74751252651003,191.50625711717817,0.6150407755414299
2011-07-26,5,1,25,48,22,11,3,122.53723801250744,63.666384486546534,148.3904761084299,116.60927646911185,84.17496309985081,38.19957487707948,191.76229911989745,0.243200575908878
2011-07-29,37,38,19,27,12,5,10,125.40446881147042,102.49699954385524,149.9443625121174,120.30170986980289,86.20855474084404,38.51119641225518,191.96844973140864,0.039840399239853774
2011-08-02,8,33,14,24,5,8,3,129.2307084382152,159.11342501462883,150.98215543889125,125.2294226460678,88.90457679380839,38.888518279969205,192.2614578953974,0.06859178042406894
2011-08-05,34,32,18,14,13,1,10,132.1025008460722,202.71267432535265,150.89244259062255,128.92816923775462,90.91466137085112,39.14190547497753,192.4942773597487,0.33610484619664727
2011-08-09,36,24,34,7,23,11,8,135.93416364061846,258.34579255976587,149.55417668917124,133.86336438777693,93.5786743436439,39.439093592815034,192.82124367605854,0.7694906922838682
2011-08-12,7,20,37,10,27,7,4,138.8102387371885,297.8037134761011,147.71256351497829,137.5673950394022,95.56472176044788,39.630759819633326,193.07828149182097,0.966125293241628
2011-08-16,45,18,1,13,17,8,3,142.64919712712242,347.7596270825455,144.53043410038347,142.5098487801607,98.19704924470992,39.843573454343854,193.43595055798878,0.9513089394970867
2011-08-19,16,6,31,28,14,11,2,145.5323138905726,23.616086111792768,142.06488914682322,146.21964221509106,100.15950235729187,39.97033893997018,193.71490463345418,0.7642269788087226
2011-08-23,42,50,6,14,4,2,4,149.3825348857636,71.64316655424194,139.4937633537492,151.17003601490978,102.76015752162134,40.09444780523982,194.1003683758241,0.39612017215474093
2011-08-26,25,45,22,33,12,5,7,152.275117573759,110.55767126525407,138.58972005155582,154.8857548535956,104.69836292707483,40.153156768925164,194.39909032157226,0.12833688664741238
2011-08-30,46,8,2,10,19,5,9,156.13842284432528,168.3116182086879,139.17355087300993,159.84351977472554,107.2655129818659,40.18482428689141,194.8093988494833,0.012938791849963327
2011-09-02,37,12,26,38,44,4,7,159.04039168558398,213.00435844470738,141.02572082228548,163.56393575681832,109.17748317263411,40.1733605699164,195.12551574834106,0.20675471076213148
2011-09-06,42,35,50,48,47,9,8,162.91512419717165,268.69661678787224,145.22975449935254,168.52652499603758,111.70842490459036,40.11121038880835,195.55721072548118,0.6384828169987055
2011-09-09,21,5,34,31,28,2,1,165.82534980036067,307.35139057628214,149.45359186018942,172.2497235561229,113.59279632201935,40.02971873369885,195.88799362699038,0.891340129071762
2011-09-13,28,32,49,9,30,9,10,169.71200034852654,356.4218035089484,156.07494441325997,177.21564163940667,116.08681787913126,39.87510333645034,196.33752352577733,0.9947791479140582
